Year;Month;City;URL event;Level 2 site;Visitors;Visits;Bounces;Page views;Time spent;Bounce rate
2022;"August";"Budel";"https://omroepzwart.nl/";"omroepzwart";2;2;2;2;0;1
2022;"August";"Budel-dorplein";"https://omroepzwart.nl/";"omroepzwart";1;1;0;2;27396;0
2022;"August";"Bueng";"https://omroepzwart.nl/";"omroepzwart";1;1;0;2;14525;0
2022;"August";"Buinerveen";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Bunde";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Bunnik";"https://omroepzwart.nl/";"omroepzwart";6;6;2;21;571579;0.333333
2022;"August";"Bunschoten-spakenburg";"https://omroepzwart.nl/";"omroepzwart";6;6;2;10;653073;0.333333
2022;"August";"Buren";"https://omroepzwart.nl/";"omroepzwart";9;9;9;9;0;1
2022;"August";"Burgh-haamstede";"https://omroepzwart.nl/";"omroepzwart";1;1;0;2;24912;0
2022;"August";"Bussum";"https://omroepzwart.nl/";"omroepzwart";15;16;9;28;1128464;0.5625
2022;"August";"Caferaga";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Cairo";"https://omroepzwart.nl/";"omroepzwart";3;3;3;3;0;1
2022;"August";"Camden";"https://omroepzwart.nl/";"omroepzwart";2;2;2;2;0;1
2022;"August";"Camporgiano";"https://omroepzwart.nl/";"omroepzwart";1;3;1;22;1019879;0.333333
2022;"August";"Cancun";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Capelle aan den ijssel";"https://omroepzwart.nl/";"omroepzwart";31;35;23;53;1565029;0.657143
2022;"August";"Carabayllo";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Carseldine";"https://omroepzwart.nl/";"omroepzwart";1;1;0;4;134982;0
2022;"August";"Castelnuovo rangone";"https://omroepzwart.nl/";"omroepzwart";1;1;0;3;149931;0
2022;"August";"Castricum";"https://omroepzwart.nl/";"omroepzwart";10;10;7;17;157331;0.7
2022;"August";"Caxambu";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Centrum";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Cesena";"https://omroepzwart.nl/";"omroepzwart";1;1;0;16;306485;0
2022;"August";"Ceyreste";"https://omroepzwart.nl/";"omroepzwart";1;1;0;4;42236;0
2022;"August";"Chaam";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Cham";"https://omroepzwart.nl/";"omroepzwart";1;1;0;4;23945;0
2022;"August";"Chevy chase";"https://omroepzwart.nl/";"omroepzwart";2;2;1;4;31028;0.5
2022;"August";"Cheyenne";"https://omroepzwart.nl/";"omroepzwart";11;11;10;14;38;0.909091
2022;"August";"Chios";"https://omroepzwart.nl/";"omroepzwart";2;2;2;2;0;1
2022;"August";"Chongqing";"https://omroepzwart.nl/";"omroepzwart";2;2;2;2;0;1
2022;"August";"Citluk";"https://omroepzwart.nl/";"omroepzwart";2;2;1;3;15659;0.5
2022;"August";"Cleveland";"https://omroepzwart.nl/";"omroepzwart";2;2;2;2;0;1
2022;"August";"Coevorden";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Cologne";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Couco";"https://omroepzwart.nl/";"omroepzwart";1;1;0;3;86752;0
2022;"August";"Council bluffs";"https://omroepzwart.nl/";"omroepzwart";4;4;4;4;0;1
2022;"August";"Cruquius";"https://omroepzwart.nl/";"omroepzwart";2;2;2;2;0;1
2022;"August";"Cuijk";"https://omroepzwart.nl/";"omroepzwart";5;5;2;12;1067638;0.4
2022;"August";"Culemborg";"https://omroepzwart.nl/";"omroepzwart";4;5;2;10;64158;0.4
2022;"August";"Cumhuriyet mah.";"https://omroepzwart.nl/";"omroepzwart";2;2;2;2;0;1
2022;"August";"Dakar";"https://omroepzwart.nl/";"omroepzwart";2;2;1;6;36310;0.5
2022;"August";"Dalen";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Dalfsen";"https://omroepzwart.nl/";"omroepzwart";2;2;1;4;24981;0.5
2022;"August";"Danville";"https://omroepzwart.nl/";"omroepzwart";3;3;3;3;0;1
2022;"August";"De bilt";"https://omroepzwart.nl/";"omroepzwart";7;7;6;11;52204;0.857143
2022;"August";"De heen";"https://omroepzwart.nl/";"omroepzwart";2;2;2;2;0;1
2022;"August";"De hoef";"https://omroepzwart.nl/";"omroepzwart";2;3;1;8;38671;0.333333
2022;"August";"De koog";"https://omroepzwart.nl/";"omroepzwart";2;3;2;18;260671;0.666667
2022;"August";"De krim";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"De kwakel";"https://omroepzwart.nl/";"omroepzwart";6;6;4;16;277187;0.666667
2022;"August";"De lier";"https://omroepzwart.nl/";"omroepzwart";4;5;4;10;41365;0.8
2022;"August";"De lutte";"https://omroepzwart.nl/";"omroepzwart";2;2;1;4;30213;0.5
2022;"August";"De meern";"https://omroepzwart.nl/";"omroepzwart";15;15;9;45;1185894;0.6
2022;"August";"De rijp";"https://omroepzwart.nl/";"omroepzwart";1;1;0;2;13106;0
2022;"August";"De veenhoop";"https://omroepzwart.nl/";"omroepzwart";3;6;2;23;2877579;0.333333
2022;"August";"De waal";"https://omroepzwart.nl/";"omroepzwart";2;2;1;5;25994;0.5
2022;"August";"De zilk";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Dedemsvaart";"https://omroepzwart.nl/";"omroepzwart";2;2;2;2;0;1
2022;"August";"Delfgauw";"https://omroepzwart.nl/";"omroepzwart";1;1;0;3;21598;0
2022;"August";"Delft";"https://omroepzwart.nl/";"omroepzwart";23;23;10;47;297623;0.434783
2022;"August";"Delfzijl";"https://omroepzwart.nl/";"omroepzwart";1;1;0;4;1405087;0
2022;"August";"Den burg";"https://omroepzwart.nl/";"omroepzwart";3;4;3;5;12483;0.75
2022;"August";"Den dolder";"https://omroepzwart.nl/";"omroepzwart";2;2;1;7;202792;0.5
2022;"August";"Den dungen";"https://omroepzwart.nl/";"omroepzwart";3;5;4;7;30848;0.8
2022;"August";"Den ham";"https://omroepzwart.nl/";"omroepzwart";3;3;3;3;0;1
2022;"August";"Den helder";"https://omroepzwart.nl/";"omroepzwart";11;19;9;50;1161668;0.473684
2022;"August";"Den hoorn";"https://omroepzwart.nl/";"omroepzwart";2;2;1;4;19478;0.5
2022;"August";"Denver";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Des moines";"https://omroepzwart.nl/";"omroepzwart";9;9;8;10;3;0.888889
2022;"August";"Deurne";"https://omroepzwart.nl/";"omroepzwart";2;2;1;3;11689;0.5
2022;"August";"Deventer";"https://omroepzwart.nl/";"omroepzwart";20;22;11;54;2849067;0.5
2022;"August";"Didam";"https://omroepzwart.nl/";"omroepzwart";3;3;2;9;44023;0.666667
2022;"August";"Diegem";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Diemen";"https://omroepzwart.nl/";"omroepzwart";30;37;13;104;1429493;0.351351
2022;"August";"Diepenveen";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Dieren";"https://omroepzwart.nl/";"omroepzwart";4;4;3;5;13933;0.75
2022;"August";"Din daeng";"https://omroepzwart.nl/";"omroepzwart";2;2;1;7;169757;0.5
2022;"August";"Dinteloord";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Dinxperlo";"https://omroepzwart.nl/";"omroepzwart";3;3;3;3;0;1
2022;"August";"Dirkshorn";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Dirksland";"https://omroepzwart.nl/";"omroepzwart";3;3;2;4;3196;0.666667
2022;"August";"Doesburg";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Doetinchem";"https://omroepzwart.nl/";"omroepzwart";15;16;7;44;713979;0.4375
2022;"August";"Dokkum";"https://omroepzwart.nl/";"omroepzwart";3;3;3;3;0;1
2022;"August";"Dongen";"https://omroepzwart.nl/";"omroepzwart";11;11;8;18;124920;0.727273
2022;"August";"Doorn";"https://omroepzwart.nl/";"omroepzwart";5;5;3;9;1137337;0.6
2022;"August";"Doornenburg";"https://omroepzwart.nl/";"omroepzwart";1;1;0;2;17025;0
2022;"August";"Doornspijk";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Doorwerth";"https://omroepzwart.nl/";"omroepzwart";2;2;2;2;0;1
2022;"August";"Dordrecht";"https://omroepzwart.nl/";"omroepzwart";40;41;25;102;1651531;0.609756
2022;"August";"Dorst";"https://omroepzwart.nl/";"omroepzwart";1;1;0;5;122769;0
2022;"August";"Drachten";"https://omroepzwart.nl/";"omroepzwart";9;9;5;17;338671;0.555556
2022;"August";"Dramalj";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Driebergen-rijsenburg";"https://omroepzwart.nl/";"omroepzwart";2;2;1;4;97555;0.5
2022;"August";"Driehuis";"https://omroepzwart.nl/";"omroepzwart";1;1;0;8;174941;0
2022;"August";"Driel";"https://omroepzwart.nl/";"omroepzwart";2;2;0;4;27007;0
2022;"August";"Drijber";"https://omroepzwart.nl/";"omroepzwart";2;2;1;4;128539;0.5
2022;"August";"Drogeham";"https://omroepzwart.nl/";"omroepzwart";2;2;1;5;126726;0.5
2022;"August";"Dronryp";"https://omroepzwart.nl/";"omroepzwart";2;2;2;2;0;1
2022;"August";"Dronten";"https://omroepzwart.nl/";"omroepzwart";7;7;4;27;1924835;0.571429
2022;"August";"Druten";"https://omroepzwart.nl/";"omroepzwart";1;1;1;1;0;1
2022;"August";"Dublin";"https://omroepzwart.nl/";"omroepzwart";16;16;8;61;1329069;0.5
2022;"August";"Dubrovnik";"https://omroepzwart.nl/";"omroepzwart";2;2;2;2;0;1
2022;"August";"Duffel";"https://omroepzwart.nl/";"omroepzwart";2;2;0;8;141960;0
2022;"August";"Duiven";"https://omroepzwart.nl/";"omroepzwart";5;6;4;15;713477;0.666667
2022;"August";"Duivendrecht";"https://omroepzwart.nl/";"omroepzwart";7;7;5;11;49965;0.714286
2022;"August";"Dunboyne";"https://omroepzwart.nl/";"omroepzwart";4;4;4;4;0;1
