"date_year","date_monthnumber","geo_city","site_level2","event_url","m_unique_visitors","m_visits","m_bounces","m_bounce_rate","m_page_loads","m_time_spent_per_visitor"
2022,10,"Dorst","omroepzwart","https://omroepzwart.nl/",6,6,5,0.833333,7,16115.000000
2022,10,"Drachten","omroepzwart","https://omroepzwart.nl/",20,26,16,0.615385,46,37722.222222
2022,10,"Drempt","omroepzwart","https://omroepzwart.nl/",1,1,0,0.000000,5,246502.000000
2022,10,"Driebergen-rijsenburg","omroepzwart","https://omroepzwart.nl/",8,11,9,0.818182,16,47349.000000
2022,10,"Driehuizen","omroepzwart","https://omroepzwart.nl/",1,1,0,0.000000,3,15339.000000
2022,10,"Driel","omroepzwart","https://omroepzwart.nl/",5,5,4,0.800000,11,135341.000000
2022,10,"Drimmelen","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Drongen","omroepzwart","https://omroepzwart.nl/",2,2,2,1.000000,2,0.000000
2022,10,"Dronten","omroepzwart","https://omroepzwart.nl/",16,18,11,0.611111,65,591008.285714
2022,10,"Drunen","omroepzwart","https://omroepzwart.nl/",2,2,1,0.500000,5,141949.000000
2022,10,"Druten","omroepzwart","https://omroepzwart.nl/",2,2,1,0.500000,5,183868.000000
2022,10,"Dubai","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Dublin","omroepzwart","https://omroepzwart.nl/",24,24,10,0.416667,83,130305.428571
2022,10,"Duffel","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Duisburg","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Duiven","omroepzwart","https://omroepzwart.nl/",10,10,6,0.600000,34,307984.666667
2022,10,"Duivendrecht","omroepzwart","https://omroepzwart.nl/",5,6,4,0.666667,13,220327.000000
2022,10,"Dunboyne","omroepzwart","https://omroepzwart.nl/",23,23,23,1.000000,23,0.000000
2022,10,"Duong phan van hon","omroepzwart","https://omroepzwart.nl/",1,1,0,0.000000,5,37629.000000
2022,10,"Dussen","omroepzwart","https://omroepzwart.nl/",2,2,2,1.000000,2,0.000000
2022,10,"Dwingeloo","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Earls colne","omroepzwart","https://omroepzwart.nl/",1,1,0,0.000000,2,27708.000000
2022,10,"Echt","omroepzwart","https://omroepzwart.nl/",11,11,7,0.636364,17,50262.250000
2022,10,"Echteld","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Echtenerbrug","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Edam","omroepzwart","https://omroepzwart.nl/",4,4,2,0.500000,18,164816.500000
2022,10,"Ede","omroepzwart","https://omroepzwart.nl/",46,65,45,0.692308,130,563688.153846
2022,10,"Ederveen","omroepzwart","https://omroepzwart.nl/",2,2,1,0.500000,13,626617.000000
2022,10,"Edinburgh","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Eefde","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Eelde","omroepzwart","https://omroepzwart.nl/",2,3,2,0.666667,5,24240.000000
2022,10,"Eelderwolde","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Eemnes","omroepzwart","https://omroepzwart.nl/",7,8,7,0.875000,10,30928.000000
2022,10,"Eemshaven","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
2022,10,"Eerbeek","omroepzwart","https://omroepzwart.nl/",6,6,5,0.833333,8,62741.000000
2022,10,"Eersel","omroepzwart","https://omroepzwart.nl/",7,8,5,0.625000,17,124249.333333
2022,10,"Eesveen","omroepzwart","https://omroepzwart.nl/",1,1,0,0.000000,2,33532.000000
2022,10,"Egmond aan den hoef","omroepzwart","https://omroepzwart.nl/",4,4,2,0.500000,7,16513.500000
2022,10,"Egmond aan zee","omroepzwart","https://omroepzwart.nl/",1,1,1,1.000000,1,0.000000
